,Expected Returns
KEY,0.008603716542158857
KEYS,0.14142058932277002
KHC,0.07484832767333582
KIM,0.09305237399318944
KLAC,0.4096919945751438
KMB,0.027573544690128182
KMI,0.039463428626794306
KMX,-0.0044430779570812096
KO,0.07572226489171063
KR,0.15784222276473248
L,0.07738626440248941
LDOS,0.10524113394272838
LEN,0.26759692009603797
LH,0.11734236127116815
LKQ,0.11884824871246691
LLY,0.43101821471988067
LMT,0.09846383007077186
LNT,0.05010699346429126
LOW,0.1819706478080383
LRCX,0.353777633321799
LULU,0.25749623977094793
LUV,-0.12254546669687749
LVS,-0.05350219995536475
LYB,0.0849979057665502
MA,0.12853352411585228
MAA,0.07709793175312596
MAR,0.11714552540435119
MAS,0.13903895897062157
MCD,0.1210207617800636
MCHP,0.15543261490519722
MCK,0.34983855144832643
MCO,0.17248152023344554
MDLZ,0.09989772900455396
MDT,0.011674355772074652
MET,0.12263889948803475
META,0.022702870266103625
MGM,0.12992130783787914
MHK,-0.05591603202602557
MKC,-0.006047156540023857
MLM,0.2023501109532584
MMC,0.18389555394476953
MNST,0.15885558203051486
MO,0.021183470083890654
MOS,0.08699682310861379
MPC,0.2608715046950767
MRK,0.11769123831953565
MRO,0.09998468614894795
MS,0.19078118883849338
MSCI,0.2328092965049091
MSFT,0.2731622064102668
MSI,0.200878487599206
MTB,-0.0104944308649213
MTD,0.11207430442361743
MU,0.16908819784033735
NCLH,-0.20381041975024328
NDAQ,0.17414743447311265
NDSN,0.1434846570846655
NEE,0.06450553909899726
NEM,0.08412803591974027
NFLX,0.05530289614631201
NI,0.012741528304956784
NKE,0.05715363969212772
NOC,0.12068215803973037
NOW,0.2287244373952253
NRG,0.07134568727565149
NSC,0.04825959576039751
NTAP,0.06288818683045116
NTRS,-0.016521745536421384
NUE,0.29773468205121545
NVDA,0.6734708827302709
NVR,0.18411703447714478
NWSA,0.16515736992572494
NXPI,0.18994640618926617
O,-0.00923893256100794
OKE,0.05768205958019923
OMC,0.042985970332955814
ON,0.3236124086891543
ORCL,0.16144131370413417
ORLY,0.22165286801725603
OXY,0.02726362778210012
PANW,0.31540826711886427
PARA,-0.1350630018227461
PAYX,0.10094611974396117
PCAR,0.19634815426321106
PCG,-0.03895651542521316
PEG,0.028865451025098743
PEP,0.07885521478683732
PFE,-0.03796944309771443
PFG,0.09511467439857668
PG,0.08991175282391017
PGR,0.19539968896786974
PH,0.2363909720878563
PHM,0.30097666652104205
PKG,0.1365625906647634
PLD,0.13877421961105174
PM,0.05559574302843906
PNC,0.0493891092907921
PNR,0.15460886882057645
PNW,-0.03372003988310123
PPG,0.06827358972393016
PPL,0.0032769099798146684
PRU,0.0312880270775171
PSA,0.09164373838929585
PSX,0.11499069361379077
PTC,0.15899998676839178
PWR,0.43554393423690185
PXD,0.09946157172085957
PYPL,-0.11912543352327742
QCOM,0.13134135001436076
QRVO,0.08927980440792416
RCL,0.006942929964942168
REG,0.020276281144827157
REGN,0.2251204336409347
RF,0.07830271203490935
